mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
20995002	Thomas G. Thompson	TT051	044_090	100	grab, undifferentiated	1970	08	26		58	27	30	N	163	04	30	W	m	58.455	-163.0717	30				
20995002	Thomas G. Thompson	TT051	036_078	100	grab, undifferentiated	1970	08	25		57	21	10	N	162	37	20	W	m	57.3517	-162.62	48				
20995002	Thomas G. Thompson	TT051	021_052	500	core, piston undiff.	1970	08	23		58	22	00	N	168	56	00	W	m	58.3667	-168.9333	66	421			
20995002	Thomas G. Thompson	TT051	024_058	400	core, gravity undiff.	1970	08	24		57	34	50	N	166	47	80	W	m	57.575	-166.7967	68	23			
20995002	Thomas G. Thompson	TT051	029_068	100	grab, undifferentiated	1970	08	24		56	24	20	N	163	42	00	W	m	56.4033	-163.7	83				
20995002	Thomas G. Thompson	TT051	013_035	400	core, gravity undiff.	1970	08	22		60	08	30	N	173	54	50	W	m	60.1383	-173.9083	94	104			
23045001	Sea Transporter	I	02PN055	107	grab, smith-mcintyre	1978	05	28	0100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN058	107	grab, smith-mcintyre	1978	05	28	0100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN051	107	grab, smith-mcintyre	1978	05	28	0100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE209	107	grab, smith-mcintyre	1978	05	27	0845	29	02	83	N	090	08	54	W	m	29.0472	-90.1423	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE104	107	grab, smith-mcintyre	1978	05	27	2228	29	02	88	N	090	09	15	W	m	29.048	-90.1525	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE205	107	grab, smith-mcintyre	1978	05	27	0845	29	02	83	N	090	08	54	W	m	29.0472	-90.1423	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE053	107	grab, smith-mcintyre	1978	05	27	0645	29	02	88	N	090	09	46	W	m	29.048	-90.1577	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE056	107	grab, smith-mcintyre	1978	05	27	0645	29	02	88	N	090	09	46	W	m	29.048	-90.1577	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE101	107	grab, smith-mcintyre	1978	05	27	2228	29	02	88	N	090	09	15	W	m	29.048	-90.1525	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	01PW207	107	grab, smith-mcintyre	1978	05	25	1252	29	07	70	N	089	42	65	W	m	29.1283	-89.7108	20	5	SMITH-MCINTYRE		
03995010	Unknown Platform	MAFLADM4	5196	300	core, box	1978	02	12		29	54	92	N	86	04	97	W		29.9153	-86.0828	39	0			
03995010	Unknown Platform	MAFLADM4	5200	300	core, box	1978	02	12		29	54	92	N	86	04	97	W		29.9153	-86.0828	39	0			
03995010	Unknown Platform	MAFLADM4	5186	300	core, box	1978	02	12		29	54	92	N	86	04	97	W		29.9153	-86.0828	39	0			
03995010	Unknown Platform	MAFLADM4	5222	300	core, box	1978	02	12		29	47	98	N	86	09	48	W		29.7997	-86.158	48	0			
03995010	Unknown Platform	MAFLADM4	5205	300	core, box	1978	02	12		29	55	98	N	86	06	42	W		29.933	-86.107	39	0			
03995010	Unknown Platform	MAFLADM4	5207	300	core, box	1978	02	12		29	55	98	N	86	06	42	W		29.933	-86.107	39	0			
23055001	T-Kip IV	II-A	12SN058	107	grab, smith-mcintyre	1978	08	25	0122	28	59	39	N	090	09	68	W	m	28.9898	-90.1613	24	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	12SN051	107	grab, smith-mcintyre	1978	08	25	0122	28	59	39	N	090	09	68	W	m	28.9898	-90.1613	24	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PS053	107	grab, smith-mcintyre	1978	08	24	0707	29	02	56	N	090	09	77	W	m	29.0427	-90.1628	14	5	SMITH-MCINTYRE		
09065007	San Pablo	PABLO	13	406	core, gravity, ewing	1967	08	22		17	01	0	N	067	00	0	W	m	17.0017	-67	4682	201	EWING GRAVITY		
09065007	San Pablo	PABLO	17	406	core, gravity, ewing	1967	08	23		17	00	0	N	065	09	0	W	m	17	-65.015	4400	229	EWING GRAVITY		
09065007	San Pablo	PABLO	19	406	core, gravity, ewing	1967	08	26		17	27	0	N	065	21	0	W	m	17.045	-65.035	3328	0	EWING GRAVITY		
09055007	Kane	424	K714_3	400	core, gravity undiff.	1970	08	20		57	29	90	N	027	31	80	W	m	57.4983	-27.53	2547	1307	GRAVITY CORE		
09065006	San Pablo	938026	BS-1A	502	core, piston, ewing	1968	03	09		23	06	5	N	086	53	5	W	m	23.0108	-86.0892	432	32	MEP		
09055007	Kane	424	K714_14	400	core, gravity undiff.	1970	08	29		56	56	60	N	028	30	00	W	m	56.9433	-28.5	2143	1507	GRAVITY CORE		
09055007	Kane	424	K708_3	400	core, gravity undiff.	1970	06	18		49	28	90	N	025	02	80	W	m	49.4817	-25.0467	1407	1407	GRAVITY CORE		
09055005	Kane	343601	BS-30	406	core, gravity, ewing	1975	09	09		37	51	4	N	011	57	3	E	m	37.0857	11.0955	684	177	MOD. EWING GRAV		
09055005	Kane	343601	BS-37	406	core, gravity, ewing	1975	09	13		43	31	8	N	009	09	9	E	m	43.053	9.0165	1390	172	MOD. EWING GRAV		
20995002	Multiple	ANC69	017	101	grab, orange peel	1962	07	25		64	24	60	N	167	55	80	W	m	64.41	-167.93	51	0			
20995002	Multiple	ANC69	018	101	grab, orange peel	1962	07	25		69	29	70	N	167	55	60	W	m	69.495	-167.9267	49	0			
20995002	Multiple	ANC69	008	101	grab, orange peel	1962	07	23		68	57	20	N	167	38	70	W	m	68.9533	-167.645	49				
20995002	Multiple	ANC69	013	101	grab, orange peel	1962	07	25		69	00	70	N	167	55	40	W	m	69.0117	-167.9233	49	0			
20995002	Multiple	ANC69	015	101	grab, orange peel	1962	07	25		69	12	60	N	167	55	50	W	m	69.21	-167.925	51	0			
09005012	Unknown Platform	STCR65	19_TR6G	101	grab, orange peel	1965	10	05		17	43	00	N	064	57	60	W	m	17.7167	-64.96	933		ORNGE PEEL GRAB		
09005012	Unknown Platform	STCR65	10_C21G	101	grab, orange peel	1965	10	05		17	45	60	N	064	56	60	W	m	17.76	-64.9433	1425		ORNGE PEEL GRAB		
09005012	Unknown Platform	STCR65	15_C28	405	core, gravity, kullenberg	1965	10	05		17	43	60	N	064	59	40	W	m	17.7267	-64.99	1013	45	KULL GRAV CORE		
09005011	Unknown Platform	121/02	17	405	core, gravity, kullenberg	1965	09	25		32	48	50	N	119	34	70	W	m	32.8083	-119.5783	1371	75	KULL GRAV CORE		
09005011	Unknown Platform	121/02	3	404	core, gravity, hydroplastic (PVC)	1965	09	22		33	29	60	N	119	32	70	W	m	33.4933	-119.545	2158	69	PVC GRAV CORE		
65005001	Unknown Platform	ALASKAG	DBC84D1	701	drive sample, hand core	1977	2	2	2000	60	01	05	N	141	58	30	W	m	60.0175	-141.9717		15	HAND CORE		
65005001	Unknown Platform	ALASKAG	DBC83A1	701	drive sample, hand core	1977	2	2	2000	60	00	30	N	141	55	30	W	m	60.005	-141.9217		15	HAND CORE		
